z	 pix 
0.311124	1187791
0.304304	544636
0.382733	1044227
0.419932	925531
0.315154	1786692
0.329104	985331
0.175347	1156848
0.184957	1409218
0.412182	1546983
0.272375	1140530
0.409392	493956
0.353283	1204048
0.295934	1170578
0.343983	1402636
0.231146	190789
0.347083	1034508
0.374673	1354074
0.271755	1267581
0.379323	778582
0.455271	367810
0.339644	522160
0.380563	1232558
0.324144	1267519
0.299964	583472
0.359173	1386232
0.423342	415983
0.341193	753490
0.361343	827169
0.321354	839713
0.272065	868630
0.277335	1408982
0.417142	567351
0.185267	1815605
0.237655	1462562
0.362893	1230620
0.297794	878538
0.343673	242010
0.282605	1560663
0.247575	1560453
0.260285	1245478
0.394202	794401
0.351113	1331579
0.395442	1868857
0.449691	1017751
0.338404	979213
0.359793	304182
0.402572	1232769
0.323834	819117
0.322284	1192806
0.364443	1474259
0.375603	884372
0.273925	1263684
0.282295	287382
0.161087	1337466
0.279195	991664
0.398542	1563419
0.368783	894995
0.211616	992951
0.355143	805043
0.207276	723088
0.450001	680254
0.343673	1846352
0.276095	1136699
0.370643	1413423
0.399782	1169734
0.348943	1509484
0.219366	1140803
0.193636	927897
0.237965	1797029
0.242925	1361893
0.281985	1468701
0.188366	559077
0.219676	882580
0.421172	1230596
0.401952	972695
0.397302	794971
0.314224	1105944
0.375603	559527
0.312054	659265
0.313604	371585
0.339954	1064898
0.183717	1764177
0.229286	632712
0.244475	458744
0.271135	1020338
0.265865	247826
0.239825	466759
0.420862	1163297
0.340574	1561366
0.375913	933622
0.385213	453525
0.187746	1032106
0.455581	292022
0.193636	1527547
0.290354	1007540
0.460851	493684
0.297794	1011849
0.351733	1538064
0.389863	591521
0.420552	401339
0.429232	1355692
0.400402	275529
0.284775	542876
0.302444	764052
0.180617	1527887
0.349563	1363688
0.322284	412102
0.466431	137344
0.372813	530754
0.353593	247738
0.379633	649214
0.223706	227157
0.294074	1171756
0.337474	1331008
0.334064	1272601
0.380253	202087
0.403502	1251595
0.350183	1173260
0.358863	1517787
0.274545	855977
0.365373	669333
0.287255	1124413
0.259975	532779
0.284465	1163028
0.181857	1624152
0.252845	1075151
0.458991	1616064
0.384593	421383
0.408462	884414
0.306164	1244835
0.313294	700499
0.324144	366586
0.332204	794940
0.348943	1778971
0.282915	1194097
0.255945	503745
0.358243	726975
0.439152	575116
0.357623	930039
0.197046	710979
0.225876	819395
0.339644	294999
0.383663	315246
0.360413	944311
0.375293	1380319
0.398232	406844
0.238895	915769
0.349563	252021
0.318254	127914
0.415282	1572639
0.354213	381954
0.204486	1532147
0.332514	1169330
0.403502	1106003
0.319184	1165111
0.401332	1733356
0.283225	478340
0.374053	813453
0.228976	620884
0.418382	1294095
0.351113	1019964
0.412182	1001235
0.193946	1219726
0.353593	440042
0.301514	823387
0.317634	376530
0.302134	1435480
0.399782	1046520
0.444112	882809
0.361653	651030
0.352973	800786
0.296244	944232
0.428612	1343668
0.449691	698546
0.285395	645311
0.266175	1546979
0.237965	534142
0.285705	657624
0.370643	352962
0.250055	1003961
0.385523	1583114
0.294694	548720
0.393582	849720
0.324144	579924
0.254395	708298
0.366923	276584
0.326624	1488942
0.449691	102987
0.165427	1255491
0.306164	600414
0.371883	242372
0.340264	235233
0.363823	1396889
0.346773	254674
0.161087	1064878
0.329414	1429335
0.364133	915862
0.320734	1592109
0.192706	1265407
0.328174	1204306
0.189606	260954
0.418072	484371
0.426132	562908
0.213166	196039
0.392962	931998
0.222466	1013787
0.224016	841778
0.338094	803060
0.427062	690455
0.364133	424721
0.202316	1290439
0.423342	753321
0.193326	1470666
0.302754	133021
0.405362	419859
0.442872	159176
0.452171	1626072
0.270205	1799419
0.388313	821318
0.468291	288744
0.420862	1789209
0.450311	690210
0.313604	962698
0.418072	458819
0.465501	751776
0.272995	228648
0.357313	456849
0.457441	1419030
0.274545	986905
0.408772	1055087
0.194876	1239350
0.229906	1370345
0.373123	1455916
0.365993	405129
0.342123	1374013
0.352043	509768
0.290044	1366245
0.312984	1560668
0.397302	1618051
0.462401	966792
0.326624	1294223
0.327244	753993
0.273925	674026
0.394512	1794845
0.303374	762252
0.235486	591483
0.408152	892992
0.401952	1811338
0.370333	1349896
0.320424	1296625
0.283535	1470281
0.197666	643424
0.329414	436391
0.309264	1484969
0.417762	491947
0.238895	846057
0.330654	608069
0.277335	1284146
0.359173	246492
0.378083	165893
0.291904	876830
0.310504	1553318
0.386143	663603
0.226186	868727
0.297174	1472361
0.381803	1214121
0.197666	1563824
0.401952	1592229
0.319184	1558846
0.283225	954390
0.413732	1453838
0.201076	1375941
0.271445	1203996
0.393272	224302
0.186816	462735
0.359173	1064906
0.246645	567308
0.240755	421205
0.298104	1185576
0.428302	408918
0.374983	499896
0.395132	1363809
0.266175	1271702
0.302754	203798
0.218436	639407
0.379633	854475
0.375293	903287
0.446901	1451968
0.246645	737065
0.206346	1109893
0.424272	655603
0.201696	788439
0.382113	1316966
0.179377	496222
0.342433	579526
0.321354	1206465
0.252535	1096100
0.418382	194554
0.444731	1388413
0.431402	1396442
0.330034	1259334
0.351423	691919
0.257185	206147
0.448761	647477
0.220916	1040409
0.361653	1421453
0.298414	166974
0.352353	447665
0.310504	344728
0.201696	1278308
0.327864	769948
0.396062	1143846
0.232076	226088
0.369403	1101846
0.166667	299539
0.176277	837444
0.419932	1301257
0.232386	1587069
0.354833	1064604
0.385833	1502978
0.400712	1152132
0.398852	1595601
0.261215	1101772
0.252225	999369
0.204796	1429857
0.319184	913527
0.283535	765597
0.316394	460719
0.343673	1050539
0.384593	184663
0.361033	1007664
0.221226	903320
0.285085	1363906
0.386143	1161132
0.345223	896837
0.379943	604447
0.414972	1031908
0.384903	161446
0.283535	667979
0.411252	1523574
0.406602	907206
0.222776	476200
0.232696	468404
0.360103	442095
0.298414	788429
0.356383	1158072
0.310814	356093
0.203556	911655
0.246335	663974
0.256255	1265435
0.205106	1318784
0.278575	1835979
0.396992	1372497
0.231766	563306
0.460851	362679
0.374363	504325
0.255015	684271
0.182477	1199044
0.211616	517931
0.369093	447703
0.261835	685957
0.324764	565099
0.347393	1160871
0.317014	168092
0.344913	567161
0.210066	485738
0.395752	324753
0.370643	893022
0.180927	960499
0.290974	297808
0.393582	911333
0.323524	1472651
0.423032	1073349
0.455581	1809289
0.259355	1237355
0.259355	1339154
0.313914	263657
0.363513	296360
0.305544	287079
0.164497	794471
0.332514	1351462
0.299654	1275947
0.241065	1576970
0.298104	1222539
0.288185	1026152
0.304304	1370039
0.374363	536250
0.222776	872444
0.430472	491801
0.313294	784415
0.373123	450893
0.323524	1064859
0.260905	872829
0.327554	390925
0.343983	369588
0.276095	525983
0.307404	919909
0.211926	1497393
0.447831	561173
0.312054	751406
0.348323	719176
0.238275	561565
0.310504	1572048
0.343983	1157280
0.420862	1217718
0.442252	1195824
0.320424	1126210
0.315154	1080983
0.373433	1112268
0.371573	532571
0.248505	421219
0.450001	1286302
0.370953	1122038
0.425822	1298704
0.317634	392834
0.366303	692281
0.252535	894854
0.333754	693931
0.343983	1421223
0.424582	762161
0.365993	197128
0.428612	1262404
0.398232	407140
0.317014	170594
0.251605	364421
0.264315	1444114
0.350493	324803
0.303994	1628282
0.442562	1040288
0.215026	403103
0.277955	1513775
0.357933	1371961
0.198906	778225
0.173487	523990
0.288495	124959
0.437602	1574930
0.198596	866229
0.287565	1291994
0.188676	1146550
0.282605	1235067
0.326004	532764
0.316084	464494
0.386453	606595
0.409082	536248
0.232696	1249603
0.421792	1382543
0.378703	1766203
0.334994	880702
0.178447	688207
0.347083	1193903
0.324764	1097756
0.408772	1136440
0.385213	385428
0.412492	954377
0.307404	1408981
0.329104	557141
0.258115	1296160
0.218436	232438
0.295934	881043
0.351423	583912
0.324454	672079
0.359173	1497159
0.352973	508093
0.238585	1263472
0.321974	253452
0.299964	1112073
0.311744	1553159
0.264005	1249623
0.331274	243684
0.451241	1132550
0.286325	1015852
0.393892	974721
0.360723	675622
0.194876	1571044
0.172557	1376225
0.294384	1001261
0.361343	1003649
0.384593	488193
0.332824	1169721
0.219986	378502
0.420242	903309
0.334064	1581814
0.344913	1296239
0.450001	1186740
0.283225	690558
0.274545	862423
0.195186	1577045
0.331274	1415248
0.303684	332660
0.298104	915680
0.191466	1300834
0.393582	1781037
0.361963	1216465
0.385523	862090
0.201696	1192028
0.344603	819588
0.294694	815520
0.216576	1210547
0.196426	655640
0.345843	349735
0.427372	1062764
0.190846	466689
