z	 pix 
0.450184	1576255
0.367165	1566027
0.413324	1555765
0.322470	1557814
0.322646	1557814
0.233469	1557820
0.313645	1555772
0.351716	1559868
0.403208	1557821
0.376910	1557822
0.168714	1557822
0.301653	1557822
0.463405	1559870
0.395053	1557824
0.354445	1557827
0.293300	1557829
0.294169	1557829
0.304695	1559877
0.293650	1557830
0.410236	1555784
0.246771	1559881
0.407780	1555785
0.321902	1555786
0.412779	1553739
0.398162	1545424
0.363070	1545424
0.396823	1545425
0.396613	1545426
0.182347	1549523
0.299139	1545429
0.247121	1545431
0.259917	1549533
0.383787	1545440
0.353198	1547491
0.295669	1545443
0.190652	1545449
0.390488	1549547
0.393530	1545452
0.369988	1545455
0.238183	1547504
0.192138	1547507
0.232717	1547509
0.346142	1545462
0.344406	1545462
0.357813	1547511
0.320844	1547511
0.325661	1547517
0.197241	1547519
0.420185	1547529
0.240949	1547533
0.313285	1545488
0.372947	1545489
0.200651	1545490
0.369399	1547537
0.458672	1547538
0.210756	1543452
0.213817	1545502
0.309025	1547552
0.309136	1543459
0.373295	1547558
0.317115	1545510
0.319028	1547560
0.209085	1545512
0.324218	1545513
0.305293	1547564
0.423070	1543469
0.388735	1547567
0.374835	1543472
0.354060	1547571
0.303530	1547574
0.324271	1545527
0.408454	1545527
0.362537	1543482
0.234035	1545534
0.396473	1543487
0.397555	1547583
0.183249	1543488
0.184117	1545537
0.162197	1545537
0.186047	1543489
0.456190	1543489
0.181958	1547587
0.184636	1545540
0.235016	1543492
0.165046	1545544
0.376459	1545545
0.374853	1545546
0.323790	1547595
0.198903	1543500
0.263554	1601536
0.194317	1589593
0.398651	1587565
0.417008	1583470
0.403111	1585519
0.435831	1585520
0.418335	1585520
0.331030	1587570
0.397691	1587571
0.425646	1583478
0.422738	1585547
0.426155	1578955
0.274523	1575239
0.299199	1575240
0.389821	1577290
0.274493	1577291
0.389254	1575243
0.380998	1575244
0.340867	1577292
0.336294	1577295
0.369338	1577296
0.301282	1577297
0.300711	1577297
0.299988	1575250
0.452101	1573203
0.368895	1575256
0.201188	1577308
0.361982	1573217
0.302302	1575267
0.184988	1577316
0.357302	1575271
0.355194	1575272
0.356706	1575277
0.320243	1575279
0.397715	1573233
0.413127	1575285
0.389298	1575285
0.378774	1566807
0.325495	1562952
0.399641	1560908
0.341330	1565004
0.197679	1565007
0.377634	1565011
0.368159	1565014
0.185465	1567063
0.302346	1567074
0.423663	1567078
0.418207	1565030
0.169540	1562985
0.169106	1560938
0.226844	1562996
0.163909	1563006
0.343871	1565056
0.330430	1560962
0.395371	1563011
0.341964	1556400
0.408365	1554446
0.299015	1554766
0.294961	1554780
0.345239	1554787
0.398565	1554789
0.453295	1544179
0.350978	1603518
0.275651	1603518
0.333713	1603523
0.370784	1603537
0.318566	1603543
0.402368	1603553
0.341390	1605602
0.354668	1603554
0.439642	1603559
0.441102	1603562
0.240625	1603569
0.169550	1603571
0.406710	1605625
0.336898	1603580
0.426967	1603580
0.451703	1603598
0.395745	1605651
0.441743	1603603
0.459312	1601556
0.387836	1601557
0.326429	1601563
0.203394	1605660
0.324177	1605660
0.327188	1605660
0.259018	1603615
0.259234	1605663
