z	 pix 
0.450184	1187791
0.367165	544636
0.413324	1044227
0.322470	925531
0.322646	1786692
0.233469	985331
0.313645	1156848
0.351716	1409218
0.403208	1546983
0.376910	1140530
0.168714	493956
0.301653	1204048
0.463405	1170578
0.395053	1402636
0.354445	190789
0.293300	1034508
0.294169	1354074
0.304695	1267581
0.293650	778582
0.410236	367810
0.246771	522160
0.407780	1232558
0.321902	1267519
0.412779	583472
0.398162	1386232
0.363070	415983
0.396823	753490
0.396613	827169
0.182347	839713
0.299139	868630
0.247121	1408982
0.259917	567351
0.383787	1815605
0.353198	1462562
0.295669	1230620
0.190652	878538
0.390488	242010
0.393530	1560663
0.369988	1560453
0.238183	1245478
0.192138	794401
0.232717	1331579
0.346142	1868857
0.344406	1017751
0.357813	979213
0.320844	304182
0.325661	1232769
0.197241	819117
0.420185	1192806
0.240949	1474259
0.313285	884372
0.372947	1263684
0.200651	287382
0.369399	1337466
0.458672	991664
0.210756	1563419
0.213817	894995
0.309025	992951
0.309136	805043
0.373295	723088
0.317115	680254
0.319028	1846352
0.209085	1136699
0.324218	1413423
0.305293	1169734
0.423070	1509484
0.388735	1140803
0.374835	927897
0.354060	1797029
0.303530	1361893
0.324271	1468701
0.408454	559077
0.362537	882580
0.234035	1230596
0.396473	972695
0.397555	794971
0.183249	1105944
0.184117	559527
0.162197	659265
0.186047	371585
0.456190	1064898
0.181958	1764177
0.184636	632712
0.235016	458744
0.165046	1020338
0.376459	247826
0.374853	466759
0.323790	1163297
0.198903	1561366
0.263554	933622
0.194317	453525
0.398651	1032106
0.417008	292022
0.403111	1527547
0.435831	1007540
0.418335	493684
0.331030	1011849
0.397691	1538064
0.425646	591521
0.422738	401339
0.426155	1355692
0.274523	275529
0.299199	542876
0.389821	764052
0.274493	1527887
0.389254	1363688
0.380998	412102
0.340867	137344
0.336294	530754
0.369338	247738
0.301282	649214
0.300711	227157
0.299988	1171756
0.452101	1331008
0.368895	1272601
0.201188	202087
0.361982	1251595
0.302302	1173260
0.184988	1517787
0.357302	855977
0.355194	669333
0.356706	1124413
0.320243	532779
0.397715	1163028
0.413127	1624152
0.389298	1075151
0.378774	1616064
0.325495	421383
0.399641	884414
0.341330	1244835
0.197679	700499
0.377634	366586
0.368159	794940
0.185465	1778971
0.302346	1194097
0.423663	503745
0.418207	726975
0.169540	575116
0.169106	930039
0.226844	710979
0.163909	819395
0.343871	294999
0.330430	315246
0.395371	944311
0.341964	1380319
0.408365	406844
0.299015	915769
0.294961	252021
0.345239	127914
0.398565	1572639
0.453295	381954
0.350978	1532147
0.275651	1169330
0.333713	1106003
0.370784	1165111
0.318566	1733356
0.402368	478340
0.341390	813453
0.354668	620884
0.439642	1294095
0.441102	1019964
0.240625	1001235
0.169550	1219726
0.406710	440042
0.336898	823387
0.426967	376530
0.451703	1435480
0.395745	1046520
0.441743	882809
0.459312	651030
0.387836	800786
0.326429	944232
0.203394	1343668
0.324177	698546
0.327188	645311
0.259018	1546979
0.259234	534142
0.262207	657624
0.209715	352962
0.401542	1003961
0.323481	1583114
0.323527	548720
0.410871	849720
0.233340	579924
0.379915	708298
0.186895	276584
0.445976	1488942
0.415867	102987
0.402227	1255491
0.327250	600414
0.385837	242372
0.387583	235233
0.171099	1396889
0.168013	254674
0.389549	1064878
0.243200	1429335
0.381408	915862
0.344064	1592109
0.321308	1265407
0.466857	1204306
0.421797	260954
0.180111	484371
0.330722	562908
0.183561	196039
0.447704	931998
0.178686	1013787
0.296325	841778
0.397137	803060
0.274294	690455
0.224064	424721
0.409283	1290439
0.308479	753321
0.354209	1470666
0.363137	133021
0.308011	419859
0.352453	159176
0.271449	1626072
0.284329	1799419
0.415939	821318
0.330226	288744
0.331825	1789209
0.308623	690210
0.423830	962698
0.409930	458819
0.294263	751776
0.287120	228648
0.408470	456849
0.230679	1419030
0.248187	986905
0.396019	1055087
0.401123	1239350
0.398340	1370345
0.353426	1455916
0.402344	405129
0.165197	1374013
0.441791	509768
0.421483	1366245
0.404432	1560668
0.182609	1618051
0.379629	966792
0.466294	1294223
0.176932	753993
0.228124	674026
0.244481	1794845
0.285885	762252
0.285865	591483
0.286359	892992
0.358570	1811338
0.325226	1349896
0.330194	1296625
0.366853	1470281
0.324421	643424
0.322819	436391
0.323463	1484969
0.305900	491947
0.377565	846057
0.391161	608069
0.348368	1284146
0.391982	246492
0.260107	165893
0.286053	876830
0.315315	1553318
0.298475	663603
0.313833	868727
0.296089	1472361
0.314416	1214121
0.386545	1563824
0.265760	1592229
0.287187	1558846
0.444137	954390
0.287870	1453838
0.266440	1375941
0.385703	1203996
0.352201	224302
0.452893	462735
0.342377	1064906
0.467998	567308
0.365071	421205
0.364258	1185576
0.364762	408918
0.261975	499896
0.334866	1363809
0.274878	1271702
0.364732	203798
0.217478	639407
0.409395	854475
0.287099	903287
0.281910	1451968
0.326273	737065
0.326658	1109893
0.325325	655603
0.172697	788439
0.400487	1316966
0.316488	496222
0.296735	579526
0.313536	1206465
0.372940	1096100
0.322787	194554
0.170663	1388413
0.322816	1396442
0.444610	1259334
0.447052	691919
0.417210	206147
0.260018	647477
0.258465	1040409
0.341726	1421453
0.309531	166974
0.226439	447665
0.370508	344728
0.263296	1278308
0.379726	769948
0.325839	1143846
0.404492	226088
0.324510	1101846
0.353119	299539
0.342334	837444
0.180515	1301257
0.346821	1587069
0.344246	1064604
0.252976	1502978
0.240485	1152132
0.400170	1595601
0.435232	1101772
0.403060	999369
0.404336	1429857
0.403554	913527
0.203013	765597
0.191960	460719
0.318803	1050539
0.248498	184663
0.413949	1007664
0.355349	903320
0.248169	1363906
0.233996	1161132
0.364331	896837
0.430731	604447
0.416099	1031908
0.388810	161446
0.287119	667979
0.168021	1523574
0.256622	907206
0.326209	476200
0.281592	468404
0.377937	442095
0.282376	788429
0.192633	1158072
0.379994	356093
0.466305	911655
0.308824	663974
0.408241	1265435
0.188350	1318784
0.185530	1835979
0.442327	1372497
0.231964	563306
0.272663	362679
0.291674	504325
0.394729	684271
0.438677	1199044
0.371624	517931
0.286732	447703
0.286643	685957
0.238390	565099
0.239086	1160871
0.168539	168092
0.399318	567161
0.331749	485738
0.202968	324753
0.434604	893022
0.349533	960499
0.374301	297808
0.346507	911333
0.281958	1472651
0.353229	1073349
0.285393	1809289
0.347915	1237355
0.274199	1339154
0.378923	263657
0.387898	296360
0.215536	287079
0.397868	794471
0.416214	1351462
0.421231	1275947
0.398756	1576970
0.250500	1222539
0.357164	1026152
0.434688	1370039
0.435774	536250
0.443055	872444
0.169235	491801
0.186617	784415
0.446168	450893
0.416330	1064859
0.303370	872829
0.379744	390925
0.322246	369588
0.371763	525983
0.267008	919909
0.289037	1497393
0.218157	561173
0.334975	751406
0.258820	719176
0.396357	561565
0.257396	1572048
0.283373	1157280
0.256684	1217718
0.244051	1195824
0.369913	1126210
0.215068	1080983
0.375682	1112268
0.287607	532571
0.210467	421219
0.367699	1286302
0.263460	1122038
0.276801	1298704
0.314426	392834
0.422071	692281
0.217350	894854
0.358598	693931
0.296492	1421223
0.311959	762161
0.436692	197128
0.279108	1262404
0.297297	407140
0.459036	170594
0.443241	364421
0.446580	1444114
0.360588	324803
0.350907	1628282
0.343443	1040288
0.384580	403103
0.301363	1513775
0.338265	1371961
0.328401	778225
0.371071	523990
0.404288	124959
0.398989	1574930
0.399290	866229
0.343111	1291994
0.394282	1146550
0.403097	1235067
0.243852	532764
0.249983	464494
0.222867	606595
0.419702	536248
0.226971	1249603
0.224665	1382543
0.353862	1766203
0.300371	880702
0.271933	688207
0.300066	1193903
0.425530	1097756
0.389800	1136440
0.356755	385428
0.346086	954377
0.231232	1408981
0.403279	557141
0.341841	1296160
0.314946	232438
0.243220	881043
0.175095	583912
0.460674	672079
0.335086	1497159
0.339843	508093
0.334208	1263472
0.334242	253452
0.332947	1112073
0.174827	1553159
0.398584	1249623
0.327275	243684
0.338452	1132550
0.340588	1015852
0.339363	974721
0.355625	675622
0.347104	1571044
0.351074	1376225
0.350134	1001261
0.350167	1003649
0.257603	488193
0.397500	1169721
0.430807	378502
0.423813	903309
0.369540	1581814
0.162696	1296239
0.257293	1186740
0.226195	690558
0.380781	862423
0.226309	1577045
0.258848	1415248
0.256297	332660
0.260105	915680
0.258348	1300834
0.371590	1781037
0.374611	1216465
0.378323	862090
0.318196	1192028
0.181509	819588
0.318902	815520
0.315068	1210547
0.385992	655640
0.319194	349735
0.320593	1062764
0.288395	466689
0.321017	1544045
0.384620	1600586
0.425094	986952
0.314223	1165177
0.429052	1546388
0.317434	1288339
0.371178	480313
0.322354	464581
0.457955	1386744
0.395677	606018
0.458203	1564580
0.353733	1331390
0.355718	680002
0.357889	1048428
0.325152	573736
0.356249	1013873
0.416771	1192126
0.329421	745671
0.328470	934219
0.357939	288812
0.457893	291849
0.168584	1474492
0.469203	1323311
0.242184	667317
0.450564	647015
0.191151	1811650
0.367289	766160
0.170576	1232555
0.310346	601776
0.446617	821502
0.419395	489978
0.420943	1454242
0.299647	581684
0.212393	829332
0.271694	1840128
0.283593	478085
0.285213	1286925
0.224720	760018
0.466788	1495326
0.229824	839339
0.188887	680004
0.368179	290458
0.181020	626752
0.286422	790883
0.265360	1300560
0.245133	1241385
0.267347	495725
0.447093	526699
0.442944	287305
0.237568	673528
0.233614	753508
0.416980	751423
0.339947	1568907
0.330068	862210
0.381651	1230610
0.381792	1576732
0.252053	880894
0.416621	1044764
0.261302	1128497
0.260466	1032476
0.410960	960642
0.317460	864483
0.359193	459005
0.426344	1482924
0.428232	913321
0.357183	987147
0.327598	927555
0.435849	516092
0.444947	670071
0.441418	1243099
0.433364	390785
0.457507	583848
0.425164	813472
0.465276	307455
0.304203	1390913
0.382504	775944
0.319807	659443
0.357411	1005240
0.382810	215301
0.382352	1864764
0.381446	443408
0.357862	595785
0.174035	1588172
0.455042	1075381
0.306953	1062700
0.254456	1207984
0.355631	366314
0.284840	187283
0.335252	649309
0.162661	972896
0.306368	1205942
0.356053	1353898
0.279183	688117
0.439830	1606847
0.219663	1195814
0.220548	1349436
0.287862	307472
0.218700	1592086
0.326413	1013724
0.336438	1560517
0.336812	820956
0.178323	302552
0.246981	1665024
0.358101	1312905
0.287264	715099
0.370112	794733
0.347739	463076
0.291083	735550
0.342100	628570
0.175003	556748
0.251772	595608
0.252128	817313
0.251155	790470
0.386053	1171712
0.428383	942107
0.377827	518516
0.374369	1437979
0.434927	375128
0.439272	1586918
0.325915	1599343
0.329203	401364
0.236579	604375
0.236525	575919
0.236681	929433
0.263903	1100097
0.384403	708683
0.263350	278468
0.236993	976590
0.339796	231080
0.201317	847848
0.292852	299287
0.339491	837649
0.398105	445342
0.380400	893108
0.298883	616212
0.310654	597959
0.353125	1124593
0.430412	1441824
0.368217	716742
0.340590	1105590
0.367906	1476506
0.367817	1386629
0.366043	628913
0.300416	581720
0.390877	243701
0.338079	1200006
0.395286	1138389
0.250809	683776
0.371632	980936
0.184929	1452312
0.356965	1640529
0.395956	291812
0.396151	484250
0.422571	653108
0.403638	1840003
0.422176	911156
0.425240	1735419
0.232540	1044543
0.388807	299749
0.390871	1597669
0.334045	639261
0.208865	522521
0.336215	1470287
0.163761	1549363
0.350130	487933
0.371608	434153
0.360683	862395
0.428986	1071157
0.446893	921498
0.451702	796329
0.291067	227106
0.209207	1490758
0.357114	397771
0.227220	405091
0.355566	1570529
0.402275	1181728
0.261702	332928
0.351676	299310
0.363080	1846278
0.199863	1353439
0.354095	1302468
0.347617	823616
0.341498	1505234
0.327344	443594
0.364621	512118
0.406917	1590124
0.253446	1255110
0.303507	1111994
0.226390	1636666
0.253175	1829718
0.178264	757427
0.463228	1553626
0.395288	1729272
0.394541	1087146
0.203983	1538156
0.383243	638841
0.182297	593910
0.183523	451087
0.180089	977291
0.459040	1099534
0.307009	1429838
0.305192	1562381
0.382637	1495048
0.397336	1188063
0.458721	577664
0.169736	444052
0.347446	1067172
0.258349	624741
0.365449	1122116
0.270820	422878
0.189532	557180
0.391592	569524
0.355426	515841
0.467268	1186072
0.347952	430270
0.347707	256663
0.347879	1478510
0.394085	1156855
0.428431	1013791
0.469182	414010
0.390017	671988
0.369968	1591018
0.382617	1394561
0.331489	1452277
0.377561	544645
0.357189	1189690
0.357128	1253514
0.426893	598416
0.422480	1093449
0.381519	357631
0.212398	823194
0.449815	700276
0.314556	590212
0.313048	694401
0.355313	1165282
0.227164	960625
0.236071	1376451
0.378890	502401
0.244045	722943
0.419330	1770778
0.320308	417537
0.330317	833491
0.208121	251958
0.384186	1118371
0.418278	1585240
0.358601	1326868
0.256171	792206
0.361495	143743
0.459097	821119
0.429213	1186823
0.358905	786869
0.217570	153508
0.184274	1778455
0.185461	708808
0.459352	1245299
0.427175	1234889
0.337779	827469
0.186700	235450
0.467684	1183733
0.179418	1480971
0.374059	1172527
0.358206	1128450
0.353781	1594572
0.338316	745755
0.346099	1378609
0.354954	379996
0.277607	1542914
0.167305	1205946
0.324008	639012
0.321547	304247
0.322133	1380668
0.322627	1850334
0.325824	1143136
0.229312	637191
0.446349	441774
0.279445	1545284
0.337381	737285
